date,R0,R20,R65,R80,D0,D20,D65,D80,H0,H20,H65,H80,R0,R20,R65,R80,DH0,DH20,DH65,DH80,RA,RS,I0,I20,I65,I80,DAYADJUST,PDET,REDUCTIONMEAN,BRIGITATTACK,FEAR,BETAFACTOR,BFACTOR,F0,F20,F65,F80,FALL,S0,S20,S65,S80,SALL
2021-02-24,172446.075115108,824251.52459956,142590.272230658,55657.7180846569,3,1722,8647,9798,901,25639,38929,26350,870,21978,27870,15773,3,1541,8076,8926,470602.784030374,724342.80599961,2,46,1,0,1.31988858151148,0.334686506573033,0.508523160592622,1,0.473333333333333,1,3.11270822222404,0,0.008040668497091,0.009119546005898,0.223113681230211,0.017044847437698,0,0.022788453960344,0.015866891135407,0.198313274553594,0.021641791672835
2021-02-25,174479.231137207,832411.061703893,143891.883546852,55982.3053677677,3,1739,8733,9875,908,25972,39271,26510,876,22209,28072,15868,3,1560,8173,8987,474596.597710206,732167.884045514,4,72,3,1,1.2261724987668,0.337226990412533,0.508689778951968,1,0.473333333333333,1,3.10254724270826,0,0.008782400565001,0.010118859784615,0.240493968747018,0.018377758371375,0,0.023106931672945,0.016160617084577,0.206799157271558,0.022156382227353
2021-02-26,176740.312547456,840593.904548684,145269.09521624,56323.0844141969,3,1770,8821,9947,918,26282,39625,26706,886,22452,28282,15966,3,1580,8264,9061,478701.970446579,740224.42628,1,36,1,2,1.20606006826611,0.333413478764287,0.502011208276521,1,0.473333333333333,1,3.09089704381587,0,0.009434402458318,0.01147985065835,0.253433047145047,0.019538448942034,0,0.02343284228961,0.016379047718634,0.215001585645904,0.022653018686566
2021-02-27,178969.805615075,848531.564487937,146525.828435928,56634.2467258023,3,1787,8915,10028,924,26584,39995,26880,896,22699,28495,16056,3,1602,8337,9133,482680.381488372,747981.063776372,5,36,0,0,0.662033904225718,0.335584530490698,0.495332637601074,1,0.473333333333333,1,3.07924684492348,0,0.009565324582258,0.011693226063279,0.256791906427748,0.019787394156465,0,0.023443692189384,0.016400385259126,0.216179905594731,0.022704262666918
2021-02-28,181390.143108033,856614.578379513,147903.889627812,57002.2669661299,3,1809,8994,10107,931,26898,40348,27036,901,22930,28707,16170,3,1624,8418,9213,486814.138242487,756096.739839002,0,41,0,1,0.372262133946836,0.335546374947439,0.488654066925627,1,0.473333333333333,1,3.06759664603109,0,0.009725266800418,0.011792834292471,0.258727109507492,0.019977877930288,0,0.02345509078638,0.016418495846252,0.217361234382366,0.022755413136357
2021-03-01,183333.028887539,864314.950134537,149245.053883788,57354.426567458,3,1832,9104,10178,941,27241,40705,27211,909,23184,28947,16270,4,1646,8507,9253,490601.515616202,763645.94385712,4,63,1,0,1.08189581815513,0.336121679488606,0.48197549625018,1,0.486666666666667,1,3.05594644713871,0,0.011026668498111,0.013846432426882,0.273119329928886,0.021660785171842,0,0.023630676729719,0.016586823562188,0.222957344593063,0.02307213459886
2021-03-02,185374.687075122,872311.210996279,150585.593188273,57686.0557991637,3,1854,9208,10243,950,27547,41072,27388,919,23422,29167,16371,4,1666,8599,9318,494464.029438133,771493.517620707,2,65,2,0,1.42629163770364,0.338607767522845,0.475296925574733,1,0.486666666666667,1,3.04429624824632,0,0.013146415886104,0.017897138529323,0.287672026007318,0.024138302820532,0,0.023833136755213,0.016811754753986,0.22830847869077,0.023401573545538
2021-03-03,187210.919251029,880544.439280573,151938.565609745,57992.7398740937,3,1883,9308,10314,953,27855,41471,27572,932,23666,29421,16467,4,1695,8692,9396,498296.578624547,779390.085390893,3,52,1,0,1.29123104970638,0.340642761639772,0.468618354899286,1,0.486666666666667,1,3.03264604935393,0,0.015113075815308,0.024427538341906,0.301109113408164,0.026891027960958,0,0.02412204110004,0.017066143775802,0.234777513611603,0.023819473815963
2021-03-04,189107.294319322,888818.866568287,153323.722752054,58266.2008916439,3,1907,9421,10391,960,28164,41848,27748,936,23946,29628,16574,4,1709,8786,9466,502086.926096525,787429.158434782,6,52,1,0,1.23235115198131,0.342848347819877,0.461939784223839,1,0.486666666666667,1,3.02099585046154,0,0.016955621207286,0.033127286269455,0.313686535439853,0.029888341825936,0,0.024375393369784,0.017343553406528,0.242141873853943,0.024254112539823
2021-03-05,190930.230994372,896251.536492461,154578.021856677,58545.5750023319,3,1929,9516,10456,972,28509,42205,27909,940,24214,29864,16675,4,1737,8883,9539,505548.634374797,794756.729971045,7,64,3,0,1.21342668139563,0.343475049549603,0.458626435656923,1,0.486666666666667,1,3.00802631832057,0,0.018511282611675,0.041135906835774,0.319768601676054,0.032359704593928,0,0.02467827357984,0.017746748270606,0.250158432904141,0.024755144011949
2021-03-06,193317.343994487,905389.749895143,156123.848457,58940.9498827993,3,1957,9602,10549,981,28835,42597,28081,951,24460,30047,16765,4,1758,8977,9618,509874.058388352,803897.833841078,2,41,0,0,0.67277921067105,0.34529954892563,0.455313087090008,1,0.486666666666667,1,2.9950567861796,0,0.019370316125863,0.044696835019818,0.322259391485701,0.033529411726606,0,0.024691433242185,0.017758461850159,0.25210208269284,0.02483331913526
2021-03-07,195212.096226036,912375.806487141,157409.476927056,59366.7974682683,4,1974,9706,10629,992,29178,42984,28254,955,24742,30319,16852,4,1776,9067,9687,513331.008348136,811033.168760365,3,27,0,1,0.371024764238058,0.348127483370571,0.451999738523092,1,0.486666666666667,1,2.98208725403863,0,0.020201779261435,0.048096780730047,0.324143892184244,0.034633718824115,0,0.024703136264106,0.017785151065958,0.253986583391383,0.024910746171266
2021-03-08,196870.773552553,919196.894555477,158577.38806549,59635.5949796801,4,2006,9831,10707,998,29525,43363,28439,960,25002,30578,16937,4,1799,9174,9748,516614.041086192,817666.610067008,1,45,0,0,1.06771821841865,0.349194545282204,0.448686389956176,1,0.5,1,2.96911772189766,0,0.021798991692703,0.057549181258011,0.327941799683285,0.037264073771248,0,0.024946664010705,0.018070501636725,0.261916280367403,0.025360346641214
2021-03-09,198688.566786339,926587.312508247,159706.749307991,59871.3118749842,4,2031,9934,10806,1003,29860,43737,28621,968,25267,30800,17030,4,1817,9294,9816,520097.423943675,824756.516533887,6,68,4,0,1.44240827354087,0.350383976278147,0.445373041389261,1,0.5,1,2.95614818975669,0,0.023718551091169,0.069280549363273,0.331014674060943,0.040430301459288,0,0.025278729623935,0.018399199075298,0.272395904625619,0.025952083699
2021-03-10,200602.50410276,934559.139388844,161018.70965933,60153.2404008472,4,2060,10049,10887,1013,30220,44089,28813,975,25540,31027,17124,4,1851,9402,9891,523900.51957643,832433.073975353,3,63,2,0,1.25918439403536,0.351777694452689,0.442059692822345,1,0.5,1,2.94317865761573,0,0.025332867799411,0.084382336755229,0.336463175918922,0.044065344799336,0,0.025722239383356,0.018781787264813,0.282597799711253,0.02659758953179
2021-03-11,201947.063626711,940891.244593223,162063.230244165,60406.7492371051,4,2090,10166,10970,1022,30525,44474,28963,982,25806,31270,17223,4,1872,9495,9962,526904.791768536,838403.495932669,2,55,3,1,1.24650487400959,0.352200118204322,0.43874634425543,1,0.5,1,2.93020912547476,0,0.027058865761051,0.100682305847691,0.341055730540507,0.047939470696744,0,0.026280883279439,0.019414313626068,0.293854266164158,0.027374384686503
