Date,0,20,65,80,all
09.02.2021,0,0.008845826242764,0.09,0.317529705055543,0.03494704005886
10.02.2021,0,0.009869064325706,0.1,0.321383674200861,0.037304971707806
11.02.2021,0,0.010885082575877,0.11,0.325541685218771,0.039052757839745
12.02.2021,0,0.011125453616265,0.12,0.326115874200861,0.040760816094986
13.02.2021,0,0.011314174006684,0.13,0.326473281795511,0.042880134323751
14.02.2021,0,0.011992523019411,0.14,0.329725857220585,0.045050575224901
15.02.2021,0,0.012698871872743,0.15,0.333813231104058,0.047237236374736
16.02.2021,0,0.013342598285211,0.16,0.339198765518023,0.049431489208981
17.02.2021,0,0.013937135822175,0.17,0.345479150736794,0.051620626928955
18.02.2021,0,0.014507761887721,0.18,0.351981056789844,0.053307539625016
19.02.2021,0,0.014603739281782,0.19,0.353165990296985,0.054968358147545
20.02.2021,0,0.014701707036172,0.2,0.353689540421673,0.057005839293641
21.02.2021,0,0.015094517184214,0.21,0.359084228610292,0.059123348885757
22.02.2021,0,0.015526478399932,0.22,0.365853361142598,0.061321077299955
23.02.2021,0,0.015971666766812,0.23,0.374376164747223,0.063635809170971
24.02.2021,0,0.016494097231646,0.24,0.384619396259352,0.065974878571871
25.02.2021,0,0.01706585524461,0.25,0.394739858490138,0.067694888358724
26.02.2021,0,0.017195475476685,0.26,0.396241038267966,0.069388814606105
27.02.2021,0,0.017301040803241,0.27,0.397457457311267,0.071775832370093
28.02.2021,0,0.017805023084911,0.28,0.409719757220585,0.074510897884306
01.03.2021,0,0.018476060141727,0.29,0.428006045817275,0.077282515283657
02.03.2021,0,0.019163352474405,0.3,0.446943595465881,0.080171489728902
03.03.2021,0,0.020017726503775,0.31,0.466311926093856,0.082961020625796
04.03.2021,0,0.020852776914995,0.32,0.483548601745636,0.084871774041352
05.03.2021,0,0.021016381524729,0.33,0.489183043119474,0.086757065293715
06.03.2021,0,0.021122917269434,0.34,0.49502485361596,0.089643464697153
07.03.2021,0,0.021897390092715,0.35,0.51548536084788,0.092986998050017
08.03.2021,0,0.022923533134288,0.36,0.54339179240535,0.096295886525068
09.03.2021,0,0.023979028333043,0.37,0.570034149784629,0.099822866289961
10.03.2021,0,0.025374321745721,0.38,0.597053643799592,0.103120332744558
11.03.2021,0,0.026608845724644,0.39,0.62083204828837,0.105256567075986
12.03.2021,0,0.026839210226045,0.4,0.630968295307187,0.107261227443882
13.03.2021,0,0.026988122929798,0.41,0.63909170190433,0.110329526611289
14.03.2021,0,0.028175152058879,0.42,0.658000541305826,0.113384362328044
15.03.2021,0,0.029658780003756,0.43,0.672297000272047,0.116545055064369
16.03.2021,0,0.031391880046319,0.44,0.685554860621174,0.120012925351454
17.03.2021,0,0.033542114819134,0.45,0.70023210228973,0.123247372393839
18.03.2021,0,0.035403613357667,0.46,0.713422635842213,0.125397481579986
19.03.2021,0,0.035984598679934,0.47,0.718828646497393,0.127403276839339
20.03.2021,0,0.036481418321429,0.48,0.721952168374518,0.130481532525106
21.03.2021,0,0.038449632069082,0.49,0.729813951530265,0.133524070517889
22.03.2021,0,0.040901973906183,0.5,0.729813951530265,0.136962415796462
23.03.2021,0,0.044018370942177,0.51,0.729813951530265,0.140617219494145
24.03.2021,0,0.04749792536237,0.52,0.729813951530265,0.14396518360447
25.03.2021,0,0.050462687785228,0.53,0.729813951530265,0.146292747948161
26.03.2021,0,0.051715501503983,0.54,0.729813951530265,0.148466709382763
27.03.2021,0,0.05271061200704,0.55,0.729813951530265,0.151562064149609
28.03.2021,0,0.055251565789055,0.56,0.729813951530265,0.154145372040181
29.03.2021,0,0.056933446475466,0.57,0.729813951530265,0.156997555234792
30.03.2021,0,0.059066425587579,0.58,0.729813951530265,0.159937330045552
31.03.2021,0,0.061346359215617,0.59,0.729813951530265,0.162663862065232
01.04.2021,0,0.063268530394283,0.6,0.729813951530265,0.164764960809109
02.04.2021,0,0.06414139744625,0.61,0.729813951530265,0.166714367627307
03.04.2021,0,0.06475976738436,0.62,0.729813951530265,0.169090214501878
04.04.2021,0,0.066093585841527,0.63,0.729813951530265,0.171715129740314
05.04.2021,0,0.066093585841527,0.64,0.755126541509862,0.174382383613746
06.04.2021,0,0.066093585841527,0.65,0.781465580775334,0.17616868045348
07.04.2021,0,0.066093585841527,0.655,0.805609537791884,0.176959095472679
08.04.2021,0,0.066093585841527,0.66,0.805609537791884,0.177749510491878
09.04.2021,0,0.066093585841527,0.665,0.805609537791884,0.178539925511077
10.04.2021,0,0.066093585841527,0.67,0.805609537791884,0.179330340530276
11.04.2021,0,0.066093585841527,0.675,0.805609537791884,0.18130406183166
12.04.2021,0,0.066093585841527,0.68,0.834297375470415,0.183325767313616
13.04.2021,0,0.066093585841527,0.685,0.864148531897529,0.185244857669377
14.04.2021,0,0.066093585841527,0.69,0.891511908002721,0.186035272688577
15.04.2021,0,0.066093585841527,0.695,0.891511908002721,0.186825687707776
16.04.2021,0,0.066093585841527,0.7,0.891511908002721,0.187616102726975
17.04.2021,0,0.066093585841527,0.705,0.891511908002721,0.188406517746174
18.04.2021,0,0.066093585841527,0.71,0.891511908002721,0.19024101796541
19.04.2021,0,0.067845272154698,0.715,0.891511908002721,0.192117896989126
20.04.2021,0,0.069668058385551,0.72,0.891511908002721,0.193904233998343
21.04.2021,0,0.071338940147727,0.725,0.891511908002721,0.195195160774715
22.04.2021,0,0.072178660502532,0.73,0.891511908002721,0.195985575793914
23.04.2021,0,0.072178660502532,0.735,0.891511908002721,0.196775990813114
24.04.2021,0,0.072178660502532,0.74,0.891511908002721,0.197566405832313
25.04.2021,0,0.072178660502532,0.745,0.891511908002721,0.199540127133697
26.04.2021,0,0.074163921301861,0.75,0.891511908002721,0.201561878141441
27.04.2021,0,0.076229762669952,0.755,0.891511908002721,0.20348101402299
28.04.2021,0,0.078123444225729,0.76,0.891511908002721,0.204838680360904
29.04.2021,0,0.07907513511368,0.765,0.891511908002721,0.205629095380103
30.04.2021,0,0.07907513511368,0.77,0.891511908002721,0.206419510399302
01.05.2021,0,0.07907513511368,0.775,0.891511908002721,0.207209925418501
02.05.2021,0,0.07907513511368,0.78,0.891511908002721,0.2080003404377
03.05.2021,0,0.07907513511368,0.785,0.891511908002721,0.208790755456899
04.05.2021,0,0.07907513511368,0.79,0.891511908002721,0.209581170476099
05.05.2021,0,0.07907513511368,0.795,0.891511908002721,0.210371585495298
06.05.2021,0,0.07907513511368,0.8,0.891511908002721,0.211162000514497
07.05.2021,0,0.07907513511368,0.805,0.891511908002721,0.211952415533696
08.05.2021,0,0.07907513511368,0.81,0.891511908002721,0.212742830552895
09.05.2021,0,0.07907513511368,0.815,0.891511908002721,0.213533245572095
10.05.2021,0,0.07907513511368,0.82,0.891511908002721,0.214323660591294
11.05.2021,0,0.07907513511368,0.825,0.891511908002721,0.215114075610493
12.05.2021,0,0.07907513511368,0.83,0.891511908002721,0.215904490629692
13.05.2021,0,0.07907513511368,0.835,0.891511908002721,0.216694905648891
14.05.2021,0,0.07907513511368,0.84,0.891511908002721,0.217485320668091
15.05.2021,0,0.07907513511368,0.845,0.891511908002721,0.21827573568729
16.05.2021,0,0.07907513511368,0.85,0.891511908002721,0.219066150706489
17.05.2021,0,0.07907513511368,0.855,0.891511908002721,0.219856565725688
18.05.2021,0,0.07907513511368,0.86,0.891511908002721,0.220646980744887
19.05.2021,0,0.07907513511368,0.865,0.891511908002721,0.221437395764087
20.05.2021,0,0.07907513511368,0.87,0.891511908002721,0.222227810783286
21.05.2021,0,0.07907513511368,0.875,0.891511908002721,0.223018225802485
22.05.2021,0,0.07907513511368,0.88,0.891511908002721,0.223808640821684
23.05.2021,0,0.07907513511368,0.885,0.891511908002721,0.224599055840883
24.05.2021,0,0.07907513511368,0.89,0.891511908002721,0.225389470860083
25.05.2021,0,0.07907513511368,0.895,0.891511908002721,0.226179885879282
26.05.2021,0,0.07907513511368,0.9,0.891511908002721,0.226179885879282
27.05.2021,0,0.07907513511368,0.9,0.891511908002721,0.226179885879282
28.05.2021,0,0.07907513511368,0.9,0.891511908002721,0.226179885879282
29.05.2021,0,0.07907513511368,0.9,0.891511908002721,0.226179885879282
30.05.2021,0,0.07907513511368,0.9,0.891511908002721,0.226179885879282
31.05.2021,0,0.07907513511368,0.9,0.891511908002721,0.226179885879282
01.06.2021,0,0.07907513511368,0.9,0.891511908002721,0.226179885879282
02.06.2021,0,0.07907513511368,0.9,0.891511908002721,0.226179885879282
03.06.2021,0,0.07907513511368,0.9,0.891511908002721,0.226179885879282
