Date,RA,RS,R,D,H,HC,I,Contacts,gammared,Calls,Positivity,Parks,Pdet,Dayadjust
23/06/2020,3312.11955608346,7467.88044391654,10780,339,1200,348,4.14285714285714,1.04808450665198,0.521131489476569,294.285714285714,0.0259484315979635,18.8367346938775,0.14551724,0.977764026442788
24/06/2020,3354.91303434433,7552.08696565567,10907,343,1211,356,4,1.0442620811888,0.519306238634126,306.857142857143,0.0337154416722859,19.1428571428571,0.17076923,1.0695749245647
25/06/2020,3373.26829750223,7626.73170249777,11000,345,1210,357,4.42857142857143,1.04043965572561,0.517480987791683,298,0.0419816876258501,24.2653061224489,0.17862069,1.10950733034838
26/06/2020,3459.72854854825,7708.27145145175,11168,349,1211,359,4.57142857142857,1.03661723026243,0.514184189500952,329.571428571429,0.0476650803093397,29.3877551020408,0.23066667,1.3240102061324
27/06/2020,3618.44947878081,7809.55052121919,11428,349,1211,360,4.71428571428571,1.03279480479925,0.510887391210222,315.142857142857,0.0487640701544445,34.5102040816326,0.2908,0.78265534731421
28/06/2020,3763.81118090847,7969.18881909153,11733,348,1218,362,4.71428571428571,1.02897237933607,0.507590592919491,325.857142857143,0.0469183273560839,39.6326530612245,0.30875,0.819595678478
29/06/2020,3867.5409106382,8067.4590893618,11935,348,1223,359,4.71428571428571,1.02514995387288,0.504293794628761,383.428571428571,0.047279956623893,44.7551020408163,0.33,0.711378214482428
30/06/2020,3935.26818336547,8148.73181663453,12084,349,1230,360,4.85714285714286,1.0213275284097,0.50099699633803,445.571428571429,0.0453595835841507,49.8775510204082,0.34115385,1.16855799567414
01/07/2020,3970.07899417628,8205.92100582372,12176,349,1241,359,5,1.01750510294652,0.4977001980473,470.857142857143,0.0417184189376781,55,0.34769231,1.24999207908197
02/07/2020,4027.19437879167,8280.80562120833,12308,353,1245,364,5.14285714285714,1.01368267748334,0.494403399756569,506.285714285714,0.0344475920679887,59.4081632653061,0.3376,0.996780789445677
03/07/2020,4074.81689534796,8374.18310465204,12449,353,1246,364,6.14285714285714,1.01540571203427,0.493290407909745,498.142857142857,0.0321042861964225,63.8163265306123,0.30043478,1.25368716382665
04/07/2020,4122.03640754308,8447.96359245692,12570,351,1249,364,6.42857142857143,1.01712874658519,0.492177416062921,534.142857142857,0.0311713786192486,68.2244897959184,0.24777778,0.939622500801
05/07/2020,4146.26717677385,8498.73282322615,12645,348,1256,361,8.14285714285714,1.01885178113612,0.491064424216096,590.857142857143,0.0316518298714144,72.6326530612245,0.22586207,0.972090837057056
06/07/2020,4159.17856917891,8536.82143082108,12696,350,1255,360,9.28571428571429,1.02057481568705,0.489951432369272,682.285714285714,0.0305176887278119,77.0408163265306,0.1953125,0.77388969430552
07/07/2020,4213.36606917892,8601.63393082108,12815,351,1265,362,9.85714285714286,1.02229785023798,0.488838440522448,754,0.0278310548867578,81.4489795918368,0.19103448,1.00319835624581
08/07/2020,4254.53628194487,8689.46371805512,12944,351,1291,361,12.4285714285714,1.02402088478891,0.487725448675623,805.428571428572,0.0268507100521103,85.8571428571429,0.16827586,0.939016464552572
09/07/2020,4289.53628194487,8759.46371805513,13049,352,1286,367,13.7142857142857,1.02574391933983,0.486612456828799,855.571428571429,0.0259428391465239,86.4897959183674,0.1525,0.939555658407403
10/07/2020,4321.97584238443,8809.02415761556,13131,352,1290,367,13.5714285714286,1.02300541671802,0.485499464981975,945,0.0239043824701195,87.1224489795919,0.14029412,1.45556015251764
11/07/2020,4351.83298524158,8893.16701475842,13245,352,1287,366,14.1428571428571,1.0202669140962,0.48438647313515,986.142857142857,0.0228134237523909,87.7551020408164,0.13787879,1.03181395651748
