date,R0,R20,R65,R80,D0,D20,D65,D80,HY,HO,RHY,RHO,DHY,DHO,DOY,DOO,RA,RS,I0,I20,I65,I80,DAYADJUST,PDET,REDUCTIONMEAN,REDUCTIONMED,FEAR,BETAFACTOR,ALHPA0,ALPHA20,ALPHA65,ALPHA80
2020-05-12,741.892626317756,5595.50903904441,1101.40015868975,606.716774255172,0,25,107,153,435.399372390229,740.184332197788,364.568128408024,353.597414852305,19.2780612244898,214.685204081633,6.09132653061224,44.7663265306122,502.129617046058,5830.80342722828,0,1,0,0,1.44548965380259,0.0909179687499864,0.561204071524948,0.447619047619048,0.292142857142857,0.919286558877269,0.179,0.179,0.179,0.179
2020-05-13,746.735275991232,5619.72228741179,1103.47557997839,607.408581351383,0,25,111,153,437.19437154239,743.774330502109,364.946102003665,358.133097999998,19.2780612244898,217.685204081633,6.09132653061224,45.7663265306122,503.10721481431,5851.38417931907,1,1,0,0,1.19505152107077,0.119791666666633,0.565299504293823,0.457142857142857,0.288571428571429,0.919286558877269,0.179,0.179,0.179,0.179
2020-05-14,754.266332051422,5670.76611181975,1111.00663603858,607.408581351383,0,25,113,154,438.465140326438,744.197920096792,366.473057325321,361.695993750529,19.2780612244898,219.685204081633,6.09132653061224,46.7663265306122,505.851596336786,5893.40054470568,1,3,0,0,1.12967792322109,0.0741071428571332,0.569394937062699,0.466666666666667,0.285,0.919286558877269,0.179,0.179,0.179,0.179
2020-05-15,760.462788453828,5708.83005829167,1113.66226021104,608.29378940887,0,25,114,155,438.95954906843,745.186737580774,367.569775966334,364.986149673567,19.2780612244898,221.685204081633,6.09132653061224,46.7663265306122,507.2342496066,5922.53596066746,0,7,0,0,0.682284196392103,0.101199906803341,0.58172088385649,0.495238095238095,0.281428571428571,0.914149464872241,0.179,0.179,0.179,0.179
2020-05-16,764.859783160527,5757.19700006535,1120.9905847222,608.29378940887,0,25,114,156,439.613176193446,745.840364705791,371.472428031118,369.864464754547,19.2780612244898,222.685204081633,6.09132653061224,46.7663265306122,510.242514728947,5957.96044765576,0,4,0,0,0.764174285516182,0.116902442795296,0.59404683065028,0.523809523809524,0.277857142857143,0.909012370867213,0.179,0.179,0.179,0.179
2020-05-17,767.476987164779,5776.82603009725,1122.29918672433,608.29378940887,0,25,114,158,440.347884506235,745.840364705791,372.302064063882,371.523736820076,19.2780612244898,224.756632653061,6.09132653061224,46.7663265306122,510.738652461248,5972.58480451263,1,2,0,0,1.0043544120514,0.124116847826081,0.606372777444071,0.552380952380952,0.274285714285714,0.903875276862185,0.179,0.179,0.179,0.179
2020-05-18,776.437967364605,5862.45317422892,1132.2558313908,610.285118342164,0,25,117,158,441.740111714658,748.624819122635,372.302064063882,373.877355515738,19.2780612244898,227.863775510204,6.09132653061224,46.7663265306122,515.299683785921,6038.45170646555,0,3,0,0,1.26058082786559,0.217813051146375,0.618698724237862,0.580952380952381,0.270714285714286,0.898738182857157,0.179,0.179,0.179,0.179
2020-05-19,778.817822692946,5898.15100415403,1133.84240160969,611.078403451611,0,25,117,160,442.528871756779,749.019199143696,374.3819955147,375.541300676393,19.2780612244898,229.935204081633,6.09132653061224,46.7663265306122,516.276845049332,6062.29750556936,0,3,0,0,1.27885792434333,0.0760416666666638,0.631024671031653,0.609523809523809,0.267142857142857,0.893601088852129,0.179,0.179,0.179,0.179
2020-05-20,782.727561143812,5941.94007480373,1137.75214006056,611.860351141784,0,25,120,162,444.012588603178,751.244774413294,374.3819955147,376.987320750363,19.2780612244898,232.006632653061,6.09132653061224,48.8377551020408,518.478514422846,6090.10269280672,0,1,0,0,1.30066999330167,0.251157407407406,0.643350617825443,0.638095238095238,0.263571428571429,0.888463994847101,0.179,0.179,0.179,0.179
2020-05-21,785.802899254631,5961.92977252405,1139.28980911597,612.629185669489,0,25,122,163,445.127697170511,752.731585836405,376.437917107159,378.529261944707,19.2780612244898,235.113775510204,6.09132653061224,48.8377551020408,519.66918562414,6102.37684900675,0,2,1,0,1.16115709944239,0.19606303418802,0.655676564619234,0.666666666666667,0.26,0.883326900842072,0.179,0.179,0.179,0.179
