date,R0,R20,R65,R80,D0,D20,D65,D80,HY,HO,RHY,RHO,DHY,DHO,DOY,DOO,RA,RS,I0,I20,I65,I80,DAYADJUST,PDET,REDUCTIONMEAN,REDUCTIONMED,FEAR,BETAFACTOR,ALHPA0,ALPHA20,ALPHA65,ALPHA80
2020-03-27,350.765852556218,3071.64544563729,507.744294692442,231.36125867904,0,1,3,8,171.950239559663,210.070899833174,66.0588788555516,12.646291953587,1,9,0,2,891.577396943805,3269.93945462118,0,28,5,0,1.03560299565792,0.130833333333333,0.338070593614271,0.257142857142857,0.5,1,0.179,0.179,0.179,0.179
2020-03-28,376.97780342593,3259.01235370597,541.722749523551,248.835892592182,0,1,4,12,181.5589594628,230.661013911325,71.4989683905044,16.532070192839,1,13,0,3,969.341703072772,3457.20709617486,0,21,2,0,1.14810648927836,0.130833333333333,0.332112527072945,0.247619047619048,0.5,1,0.179,0.179,0.179,0.179
2020-03-29,389.812792430627,3332.81354048298,569.531892367062,258.462134345705,0,2,5,16,188.190549506144,244.661037336163,75.8863368085632,18.2870175600625,1,18,1,3,1005.59091171874,3545.02944790763,2,12,3,0,0.710786484917668,0.130833333333333,0.32615446053162,0.238095238095238,0.5,1,0.179,0.179,0.179,0.179
2020-03-30,417.650210534611,3549.94540169405,625.206728575029,282.123939734091,0,3,6,19,197.630576153484,254.101063983502,83.8046078710836,22.2461530913227,1,22,2,3,1100.81540449707,3774.11087604072,2,13,0,0,1.02401078591706,0.130833333333333,0.320196393990294,0.228571428571429,0.5,1,0.179,0.179,0.179,0.179
2020-03-31,434.407694383706,3668.17875996267,652.204896998572,296.088509608337,0,3,8,24,203.736240878141,273.639191102404,90.8826038835479,25.3919290968624,1,28,2,4,1152.33484833073,3898.54501262255,0,19,1,0,1.27332252606089,0.130833333333333,0.314238327448968,0.219047619047619,0.5,1,0.179,0.179,0.179,0.179
2020-04-01,457.765726337353,3823.63048986108,682.811973351626,317.83564280656,0,5,10,28,227.997822896059,308.683698461619,107.876579325578,35.5883143620801,3,33,2,5,1216.24586288107,4065.79796947555,1,21,0,0,1.14997286915123,0.130833333333333,0.308280260907643,0.20952380952381,0.5,1,0.179,0.179,0.179,0.179
2020-04-02,470.875290159329,3958.2220117667,726.51051942488,348.424625057837,0,6,11,32,235.231461339943,341.751759919379,111.84146336428,38.7602215930422,4,37,2,6,1274.58210282376,4229.45034358498,0,19,2,0,0.974271788350942,0.130833333333333,0.302322194366317,0.2,0.5,1,0.179,0.179,0.179,0.179
2020-04-03,485.978078569017,4061.1097578077,748.220777763806,358.807792089498,0,6,14,37,245.075174291669,367.70336679211,124.724636937495,45.5807252494502,4,44,2,7,1313.81082479357,4340.30558143644,3,16,0,0,1.03006449745784,0.130833333333333,0.316655121081802,0.20952380952381,0.5,0.997893385883885,0.179,0.179,0.179,0.179
2020-04-04,504.648206165227,4166.59597872628,774.358956398499,366.275843127982,0,6,16,44,252.591052670281,380.480360035749,129.246239274656,47.0879260285037,4,52,2,8,1355.12022459727,4456.75875982072,0,8,2,0,0.934944314763979,0.130833333333333,0.330988047797287,0.219047619047619,0.5,0.995786771767771,0.179,0.179,0.179,0.179
2020-04-05,513.357302606231,4240.00122015761,788.044679377221,379.961566106703,0,8,18,48,256.525862196158,399.170705283668,135.895966378704,49.304501729853,6.02040816326531,58.0612244897959,2,8,1386.51040117824,4534.85436706952,0,3,0,0,0.718457434712236,0.130833333333333,0.345320974512772,0.228571428571429,0.5,0.993680157651656,0.179,0.179,0.179,0.179
2020-04-06,519.172911224303,4285.36296737857,797.349653166136,392.755905066461,0,9,19,54,267.844457335771,421.807895562893,148.173775116394,54.9711826857101,7.03061224489796,65.1326530612245,2,8,1406.81151604926,4587.8299207862,0,3,1,0,1.07414694008324,0.133888888888889,0.359653901228256,0.238095238095238,0.5,0.991573543535541,0.179,0.179,0.179,0.179
2020-04-07,528.037606004645,4348.5239176885,806.214347946477,399.404426151718,0,11,24,57,275.740305356695,440.889528280127,154.802113174035,62.4280630005564,8.05510204081633,72.3040816326531,3.02448979591837,9.02448979591837,1433.11875949036,4649.06153830098,1,3,1,0,1.24154295437002,0.136944444444444,0.373986827943741,0.247619047619048,0.5,0.989466929419426,0.179,0.179,0.179,0.179
2020-04-08,543.102792591956,4435.56721797075,825.46430858582,410.284838686998,0,11,30,66,289.751868678241,462.445779544043,172.624553972052,70.9149395710408,8.05510204081633,84.5979591836735,3.02448979591837,11.0734693877551,1476.90740818991,4737.51174964561,3,8,0,0,1.14420282807998,0.107158508701356,0.388319754659226,0.257142857142857,0.5,0.987360315303312,0.179,0.179,0.179,0.179
2020-04-09,550.012486915371,4500.05769832261,840.819184860073,421.033252078976,0,11,34,72,296.278844270996,488.553681915064,183.844379250964,83.0697502898618,8.05510204081633,93.8183673469388,3.02448979591837,12.0979591836735,1512.6948377499,4799.22778442713,0,8,0,0,1.05940701584197,0.130054086538459,0.402652681374711,0.266666666666667,0.5,0.985253701187197,0.179,0.179,0.179,0.179
