Date,RA,RS,D,I,Contacts,Masks,Dayadjust,tests,smP
12/04/2020,1339,4697,138,2.85714285714286,0.476850602567031,0.834517251809614,0.77269665952864,3215,233.65306122449
13/04/2020,1348,4730,143,3,0.489877683464486,0.829016781435327,1.03090037259212,6173,221.734693877551
14/04/2020,1393,4843,161,2.85714285714286,0.50290476436194,0.823516311061039,1.15453762067842,8476,209.183673469388
15/04/2020,1455,4925,166,2,0.515931845259394,0.818015840686752,1.13434032539263,8381,190.816326530612
16/04/2020,1481,4994,169,1.71428571428571,0.528958926156849,0.812515370312464,1.20179482370796,8288,173.530612244898
17/04/2020,1532,5071,173,1.14285714285714,0.53095609230742,0.812515370312464,0.858054733726927,5605,156.714285714286
18/04/2020,1561,5098,181,1.57142857142857,0.532953258457992,0.812515370312464,0.758642375695942,4027,144.795918367347
19/04/2020,1591,5125,186,1.28571428571429,0.534950424608563,0.812515370312464,0.77269665952864,6567,131.551020408163
20/04/2020,1639,5198,194,1.14285714285714,0.536947590759135,0.812515370312464,1.03090037259212,8341,123.469387755102
21/04/2020,1680,5277,201,1.71428571428571,0.538944756909707,0.812515370312464,1.15453762067842,8818,119.959183673469
22/04/2020,1719,5353,208,1.85714285714286,0.540941923060278,0.812515370312464,1.13434032539263,7901,120.204081632653
23/04/2020,1752,5401,210,1.85714285714286,0.54293908921085,0.812515370312464,1.20179482370796,7129,117.959183673469
24/04/2020,1796,5442,214,2.71428571428571,0.552769563003839,0.806754128719363,0.858054733726927,4446,116.061224489796
25/04/2020,1825,5471,218,2.28571428571429,0.562600036796829,0.800992887126262,0.758642375695942,3381,115.469387755102
26/04/2020,1841,5485,220,2.42857142857143,0.572430510589818,0.795231645533161,0.77269665952864,7754,113.489795918367
27/04/2020,1870,5521,223,2.28571428571429,0.582260984382807,0.789470403940061,1.03090037259212,8741,107.448979591837
28/04/2020,1887,5547,227,1.71428571428571,0.592091458175797,0.78370916234696,1.15453762067842,7322,98.2448979591836
29/04/2020,1912,5583,227,1.71428571428571,0.601921931968786,0.777947920753859,1.13434032539263,7396,88.6734693877551
30/04/2020,1931,5617,236,1.71428571428571,0.611752405761776,0.772186679160758,1.20179482370796,4497,83.3877551020408
01/05/2020,1942,5630,240,1,0.617116689492,0.772186679160758,0.858054733726927,3885,78.0816326530612
02/05/2020,1953,5642,245,1.28571428571429,0.622480973222224,0.772186679160758,0.758642375695942,3881,71.0816326530612
03/05/2020,1959,5660,248,2.14285714285714,0.627845256952448,0.772186679160758,0.77269665952864,7756,65.3469387755102
04/05/2020,2001,5707,252,2.71428571428571,0.633209540682672,0.772186679160758,1.03090037259212,9383,61.8571428571429
05/05/2020,2028.11267605634,5756.88732394366,257,3.14285714285714,0.638573824412896,0.772186679160758,1.15453762067842,8052,60.2448979591838
06/05/2020,2057.89449423816,5805.10550576184,262,3.42857142857143,0.64393810814312,0.772186679160758,1.13434032539263,7599,59.1836734693878
07/05/2020,2082.83199423816,5837.16800576184,270,3.71428571428571,0.649302391873344,0.772186679160758,1.20179482370796,4510,56.2040816326531
08/05/2020,2097.46835787452,5868.53164212548,273,3.57142857142857,0.660180322281247,0.766593590154722,0.858054733726927,3788,53.6734693877551
09/05/2020,2105.82550073166,5878.17449926834,276,3.42857142857143,0.67105825268915,0.761000501148685,0.758642375695942,4052,52.3877551020409
10/05/2020,2114.82550073166,5897.17449926834,280,3.28571428571429,0.681936183097053,0.755407412142648,0.77269665952864,7809,51.673469387755
11/05/2020,2135.80466739833,5929.19533260167,282,2.85714285714286,0.692814113504956,0.749814323136612,1.03090037259212,8755,51.3265306122448
12/05/2020,2149.80466739833,5960.19533260167,283,2.71428571428571,0.703692043912859,0.744221234130575,1.15453762067842,7687,49.9591836734693
13/05/2020,2176.76357150792,5981.23642849208,290,2.42857142857143,0.714569974320762,0.738628145124539,1.13434032539263,6902,47.9183673469387
14/05/2020,2215.03023817458,6024.96976182541,293,2.14285714285714,0.725447904728665,0.733035056118502,1.20179482370796,6790,47.326530612245
15/05/2020,2233.36357150792,6061.63642849208,295,2,0.733865304477881,0.733035056118502,0.858054733726927,4197,47.1020408163265
16/05/2020,2243.57190484125,6100.42809515875,296,1.71428571428571,0.742282704227096,0.733035056118502,0.758642375695942,3553,47.5102040816326
17/05/2020,2251.75372302307,6112.24627697693,298,1,0.750700103976312,0.733035056118502,0.77269665952864,7458,47.7142857142857
18/05/2020,2316.57772302307,6158.42227697693,297,1,0.759117503725528,0.733035056118502,1.03090037259212,8336,48.7959183673471
19/05/2020,2341.99438968974,6194.00561031026,302,0.714285714285714,0.767534903474743,0.733035056118502,1.15453762067842,7518,50.857142857143
20/05/2020,2367.99438968974,6242.00561031026,304,0.571428571428571,0.775952303223959,0.733035056118502,1.13434032539263,7290,54.0612244897959
21/05/2020,2383.05960708104,6259.94039291896,306,1.14285714285714,0.784369702973175,0.733035056118502,1.20179482370796,7748,55.7551020408164
22/05/2020,2415.38837420433,6286.61162579567,312,1.57142857142857,0.799780675644836,0.728973309805828,0.858054733726927,5059,57.3469387755104
23/05/2020,2463.055040871,6315.944959129,314,2.14285714285714,0.815191648316497,0.724911563493155,0.758642375695942,3849,58.8775510204081
24/05/2020,2509.23925139731,6334.76074860269,315,2.28571428571429,0.830602620988158,0.720849817180481,0.77269665952864,7508,61.4897959183675
25/05/2020,2528.54282282588,6362.45717717412,317,2.42857142857143,0.846013593659819,0.716788070867807,1.03090037259212,7241,61.6122448979591
26/05/2020,2557.56607863984,6381.43392136016,317,2.85714285714286,0.86142456633148,0.712726324555134,1.15453762067842,6846,61.1428571428572
27/05/2020,2576.80745795018,6398.19254204982,317,2.85714285714286,0.876835539003141,0.70866457824246,1.13434032539263,6013,59.3673469387756
28/05/2020,2609.94382158654,6419.05617841346,319,2.71428571428571,0.892246511674802,0.704602831929786,1.20179482370796,6113,59.0204081632653
29/05/2020,2639.4993771421,6445.5006228579,319,3,0.899509491265236,0.704602831929786,0.858054733726927,3548,58.530612244898
30/05/2020,2655.19168483441,6463.80831516559,319,2.71428571428571,0.90677247085567,0.704602831929786,0.758642375695942,2141,56.5918367346938
31/05/2020,2662.1007757435,6494.8992242565,320,2.71428571428571,0.914035450446103,0.704602831929786,0.77269665952864,5721,53.1836734693877
01/06/2020,2680.19754993705,6510.80245006295,321,2.42857142857143,0.921298430036537,0.704602831929786,1.03090037259212,6478,50.8163265306123
02/06/2020,2714.23676562332,6538.76323437668,323,2.28571428571429,0.928561409626971,0.704602831929786,1.15453762067842,5313,49
03/06/2020,2743.44729193911,6583.55270806089,325,2.42857142857143,0.935824389217404,0.704602831929786,1.13434032539263,5011,48.734693877551
04/06/2020,2763.31825968105,6619.68174031895,326,2.14285714285714,0.943087368807838,0.704602831929786,1.20179482370796,4173,48.0816326530611
05/06/2020,2784.12907049186,6633.87092950814,327,2,0.95780925905445,0.69904543172625,0.858054733726927,2150,47.0612244897958
06/06/2020,2801.33661766167,6654.66338233833,327,2,0.972531149301062,0.693488031522714,0.758642375695942,2127,47
07/06/2020,2840.15479947985,6676.84520052015,327,2,0.987253039547674,0.687930631319178,0.77269665952864,4684,47.9591836734695
08/06/2020,2866.86447689921,6719.13552310079,328,2.28571428571429,1.00197492979429,0.682373231115642,1.03090037259212,4552,49.8979591836734
09/06/2020,2888.83057859412,6751.16942140588,328,2.28571428571429,1.0166968200409,0.676815830912106,1.15453762067842,4068,51.3877551020406
10/06/2020,2931.03370359412,6781.96629640588,330,2.42857142857143,1.03141871028751,0.67125843070857,1.13434032539263,3739,52.0816326530611
11/06/2020,2942.49022533325,6801.50977466675,328,3.42857142857143,1.04614060053412,0.665701030505034,1.20179482370796,3726,52.2244897959185
12/06/2020,2977.5346697777,6849.4653302223,329,5.71428571428571,1.05483517535034,0.665701030505034,0.858054733726927,1652,53.7755102040815
13/06/2020,2999.21648795951,6880.78351204049,328,6.71428571428571,1.06352975016655,0.665701030505034,0.758642375695942,1121,55.5510204081633
14/06/2020,3015.71648795951,6897.28351204049,329,7.28571428571429,1.07222432498277,0.665701030505034,0.77269665952864,3673,56.2857142857143
15/06/2020,3030.98921523224,6922.01078476776,330,7.71428571428571,1.08091889979898,0.665701030505034,1.03090037259212,4023,55.7142857142857
16/06/2020,3046.41109023224,6953.58890976776,331,7.57142857142857,1.08961347461519,0.665701030505034,1.15453762067842,4036,55.1632653061224
17/06/2020,3075.47560636127,6975.52439363873,333,7.57142857142857,1.09830804943141,0.665701030505034,1.13434032539263,4403,54.1836734693879
